平成28年度公共用水域及び地下水の水質常時監視結果(平成29年6月16日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000093848.html
平成29年度公共用水域及び地下水の水質常時監視結果(平成30年6月15日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000106416.html
平成30年度公共用水域及び地下水の水質常時監視結果(令和元年6月13日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000118065.html
土壌・地下水汚染に係る周辺の井戸水調査結果について,pdf,CC BY,環境局/地域環境対策部/地域環境対策課/有害化学物質対策係,環境,,http://www.city.nagoya.jp/shisei/category/53-5-22-12-3-0-0-0-0-0.html
平成29年名古屋市観光客・宿泊客動向調査,pdf,CC BY,観光文化交流局/観光交流部/観光推進課/観光企画係,観光・イベント,,http://www.city.nagoya.jp/kankobunkakoryu/page/0000111740.html
平成30年名古屋市観光客・宿泊客動向調査,pdf,CC BY,観光文化交流局/観光交流部/観光推進課/観光企画係,観光・イベント,,http://www.city.nagoya.jp/kankobunkakoryu/page/0000123641.html
名古屋市外国人住民統計,xls,CC BY,観光文化交流局/観光交流部/国際交流課/推進係,統計、教育と文化と交流,,http://www.city.nagoya.jp/kankobunkakoryu/page/0000080856.html
市立幼稚園一覧,pdf,CC BY,教育委員会事務局/指導部/指導室,子育て施設,,http://www.city.nagoya.jp/kurashi/category/19-5-5-0-0-0-0-0-0-0.html
県指定文化財,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008477.html
個人所有,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008570.html
国指定文化財,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008447.html
国登録文化財,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008473.html
市指定文化財,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008502.html
市内の指定・登録文化財件数,html,CC BY,教育委員会事務局/生涯学習部/文化財保護室/文化財保存活用係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000008592.html
